"zip","lat","lon","city","abr","county","type"
23510,36.88,-76.29,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23511,36.94,-76.3,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23512,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","UNIQUE"
23513,36.89,-76.24,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23514,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23515,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","UNIQUE"
23517,36.87,-76.29,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23518,36.91,-76.22,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23519,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23520,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23521,36.91,-76.15,"NORFOLK","VA","VIRGINIA BEACH CITY","STANDARD"
23523,36.83,-76.27,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23529,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23530,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","UNIQUE"
23541,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","STANDARD"
23551,36.93,-76.24,"NORFOLK","VA","NORFOLK CITY","UNIQUE"
23601,37.06,-76.46,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23602,37.13,-76.51,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23603,37.17,-76.54,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23604,37.16,-76.58,"FORT EUSTIS","VA","NEWPORT NEWS CITY","STANDARD"
23605,37.02,-76.44,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23606,37.07,-76.49,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23607,36.99,-76.42,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23608,37.15,-76.54,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23609,37.2,-76.52,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23612,37.2,-76.52,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","STANDARD"
23628,37.2,-76.52,"NEWPORT NEWS","VA","NEWPORT NEWS CITY","UNIQUE"
23630,37.07,-76.39,"HAMPTON","VA","HAMPTON CITY","UNIQUE"
23631,37.07,-76.39,"HAMPTON","VA","HAMPTON CITY","UNIQUE"
23651,37.02,-76.3,"FORT MONROE","VA","HAMPTON CITY","STANDARD"
23653,37.07,-76.39,"HAMPTON","VA","HAMPTON CITY","UNIQUE"
